student_id,Credits,courses_can_register,Block_name,block_courses
221000410,67,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000570,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000645,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000759,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000770,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000832,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221001099,67,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221001237,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221001565,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221001701,65,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221002051,67,"['AIS301', 'AIS390', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363']",AI-JR-1,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'ENGL000']"
221000001,70,"['AIS301', 'AIS390', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']",AI-JR-2,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']"
221000424,68,"['AIS301', 'AIS390', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']",AI-JR-2,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']"
221000432,71,"['AIS301', 'AIS390', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL202']",AI-JR-3,"['AIS301', 'AIS390', 'AIS490', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL000']"
221001554,73,"['AIS301', 'AIS390', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL202']",AI-JR-3,"['AIS301', 'AIS390', 'AIS490', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL000']"
221000002,70,"['AIS301', 'AIS490', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']",AI-JR-2,"['AIS301', 'AIS390', 'AIS490', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410']"
212002407,80,"['AIS301', 'AIS490', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL003']",AI-JR-3,"['AIS301', 'AIS390', 'AIS490', 'CSCI363', 'CSCI410', 'CSCI461', 'ENGL000']"
231001426,30,"['AIS301', 'CSCI112', 'CSCI217', 'CSCI410', 'ECEN101C', 'MATH211']",AI-JR-8,"['AIS301', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'CSCI410', 'ENGL000']"
211000075,44,"['AIS301', 'CSCI208', 'CSCI212', 'CSCI305', 'CSCI313/ECEN428', 'CSCI363', 'MATH201', 'MATH301i']",AI-SO-6,"['CSCI208', 'CSCI305', 'CSCI311/ECEN432', 'CSCI313/ECEN428', 'CSCI363', 'MATH301i', 'PHYS101C']"
202002876,47,"['AIS301', 'CSCI208', 'CSCI217', 'CSCI311/ECEN432', 'CSCI322', 'MATH203i', 'MATH301i']",AI-JR-7,"['AIS301', 'CSCI305', 'CSCI311/ECEN432', 'CSCI322', 'CSCI363', 'ENGL000', 'MATH203i', 'MATH301i']"
221000253,46,"['AIS301', 'CSCI217', 'CSCI322', 'ECEN101C', 'MATH112i', 'MATH203i']",AI-JR-7,"['AIS301', 'CSCI305', 'CSCI311/ECEN432', 'CSCI322', 'CSCI363', 'ENGL000', 'MATH203i', 'MATH301i']"
