PEOPLE_ID,Year,Term,Program,degree,curriculum,college,department,Course_ID,Course_Sub_Type,Course_Section,CREDIT,FINAL_GRADE
202001416,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000081,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000405,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
19200072,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001226,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000075,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000383,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001159,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000575,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000165,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001556,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001128,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000756,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000206,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001902,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000062,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001778,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000681,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001958,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000759,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000993,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000963,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001099,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000423,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001237,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000656,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001337,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001369,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001648,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001138,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000345,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001149,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001158,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202002876,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000540,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000239,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000069,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000318,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000018,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000902,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000565,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001749,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000559,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000738,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000590,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000628,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001641,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001925,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000781,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000791,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000093,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001307,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000202,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000308,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000639,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001298,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
231000734,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000390,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000479,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001524,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001055,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000865,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000504,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001650,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001470,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000633,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001704,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001250,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001623,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001752,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001760,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000001,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001541,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001948,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001931,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000348,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000770,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001884,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001836,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001921,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211002053,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001045,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001757,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001892,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
231000313,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001864,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
231000848,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211002194,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221002164,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001634,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001626,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001776,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001463,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211001926,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000108,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221000117,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
