PEOPLE_ID,Year,Term,Program,degree,curriculum,college,department,Course_ID,Course_Sub_Type,Course_Section,CREDIT,FINAL_GRADE
202000936,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001365,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001242,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202001947,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202002147,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202002609,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000533,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
231001648,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
211000782,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001493,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
231000053,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001265,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202002035,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
221001646,,,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,,,,,
202000936,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,ENGL001,LECT,04,0.0,P
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,06,3.0,A
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI201,LECT,01,3.0,B
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,LAB,4A,0.0,
202002147,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,LAB,5A,0.0,
202002147,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,LECT,05,4.0,B
202001947,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,MATH111,LECT,03,3.0,B+
202002147,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,10,3.0,A+
202000936,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LAB,12B,0.0,
202001242,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,06,3.0,B+
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI201,LECT,04,3.0,B
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,ENGL003,LECT,06,0.0,P
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,ARTS105,LECT,02,2.0,A
202000936,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,MATH111,TUT,6B,0.0,
202001242,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI201,LECT,01,3.0,B-
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,TUT,9B,0.0,
202001947,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,09,3.0,A
202001947,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,LAB,2A,0.0,
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,MATH111,TUT,4A,0.0,
202000936,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,TUT,12B,0.0,
202002147,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,TUT,5A,0.0,
202001242,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,PHYS101C,LECT,01,4.0,C+
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,MATH100,LECT,02,0.0,P
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,09,3.0,A+
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,TUT,12B,0.0,
202002035,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,ENGL003,LECT,03,0.0,W
202001365,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,MATH100,TUT,3D,0.0,
202002147,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI201,LAB,5A,0.0,
202002609,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,07,3.0,A+
202000936,2020.0,FALL,Undergraduate,Bachelor of Science,Artificial Intelligence,Information Technology and Computer Scie,Artificial Intelligence,CSCI101,LECT,12,3.0,A-
