no.,Categories,Code,,Name,credits,,Count,preq corses,preq other,Avilable this term ,Year,Semester
1,English,ENGL001,1,Intensive English,0,"Minimum score of 400 on TOEFL ITP, 4.5 on IELTS, 32 on TOEFL IBT, B1 on APTIS, or passing NU writing exam",0,,"Minimum score of 400 on TOEFL ITP, 4.5 on IELTS, 32 on TOEFL IBT, B1 on APTIS, or passing NU writing exam",0,0,0
2,English,ENGL101,1,English 101,0,Minimum score of 500 on the TOEFL or passing NU writing exam,2,ENGL101,Minimum score of 500 on the TOEFL or passing NU writing exam,0,1,1
3,English,ENGL102,1,English 102,0,ENGL101 English 101,1,ENGL101,,1,1,2
4,English,ENGL201,1,Scientific Writing,3,ENGL102 English 102,1,ENGL102,,1,0,0
5,English,ENGL202,1,Communication & Presentation Skills,3,ENGL201 Scientific Writing,0,ENGL201,,0,0,0
6,Humanities,HUMA101,3,Introduction to Logic and Critical Thinking,2,Thanaweya Amma or equivalent,0,,Thanaweya Amma or equivalent,1,0,0
7,Humanities,HUMA102,2,Introduction to Ethics,2,Thanaweya Amma or equivalent,0,,Thanaweya Amma or equivalent,1,0,0
8,Humanities,HUMA103,5,Selected Topics in Humanities & Arts,2,Thanaweya Amma or equivalent,0,,Thanaweya Amma or equivalent,0,0,0
9,Social Sciences,SSCI101,1,Selected Topics in Egyptian & Arab Heritage,2,Thanaweya Amma or equivalent,0,,,0,0,0
10,Social Sciences,SSCI102,3,Selected Topics in World Cultures & Diversity,2,Thanaweya Amma or equivalent,0,,,0,0,0
11,Social Sciences,SSCI103,5,Selected Topics in Social Sciences,2,Thanaweya Amma or equivalent,0,,,0,0,0
12,Physics,PHYS101,1,Physics I,4,MATH 111 Analytical Geometry & Calculus I or concurrent enrollment,1,MATH111,,0,1,1
13,Mathematics,MATH100,1,Mathematics,0,Thanaweya Amma or equivalent,0,,Thanaweya Amma or equivalent,0,1,1
14,Mathematics,MATH111,1,Analytical Geometry & Calculus I,3,Thanaweya Amma or equivalent,6,,Thanaweya Amma or equivalent,0,1,1
15,Mathematics,MATH112,1,Calculus II,3,MATH111 Analytical Geometry & Calculus I,0,MATH111,,1,1,2
16,Mathematics,MATH113,1,Probability & Statistics,3,MATH111 Analytical Geometry & Calculus I,1,MATH111,,0,1,2
17,Mathematics,MATH211,1,Discrete Mathematics,3,MATH111 Analytical Geometry & Calculus I,0,MATH111,,1,0,0
18,Mathematics,MATH221,1,Linear Algebra,3,MATH111 Analytical Geometry & Calculus I,0,MATH111,,0,0,0
19,Mathematics,MATH222,1,Differential Equations,3,MATH111 Analytical Geometry & Calculus I,0,MATH111,,1,0,0
20,cs Compulsory,CSCI101,1,Computer & Information Skills,3,Thanaweya Amma or equivalent,2,,Thanaweya,0,1,1
21,cs Compulsory,CSCI111,0,Structured Programming,3,CSCI101 Computer & Information Skills Or concurrent,1,CSCI101,,#N/A,1,1
22,cs Compulsory,CSCI112,1,Object Oriented Programming,3,CSCI111 Structured Programming Or concurrent,2,CSCI111,,1,1,2
23,cs Compulsory,ECEN121,1,Electric and Electronic Circuits,3,PHYS101 Physics I,1,PHYS101,,1,1,2
24,cs Compulsory,CSCI122,1,Introduction to Computer Systems,3,CSCI101 Computer & Information Skills Or concurrent,0,CSCI101,,0,1,2
25,cs Compulsory,CSCI207,1,Algorithms,3,CSCI112 Object Oriented Programming,4,CSCI112,,0,0,0
26,cs Compulsory,CSCI208,1,Design and Analysis of Algorithms,3,CSCI207 Data Structures and Algorithms,0,CSCI207,,1,0,0
27,cs Compulsory,CSCI212,1,Logic Design and Lab,3,ECEN121 Electric and Electronic Circuits,1,ECEN121,,1,0,0
28,cs Compulsory,CSCI217,1,Advanced Programming,3,CSCI207 Data Structures and Algorithms,6,CSCI207,,1,0,0
