,StudentCourseCode,Maped Automaticly,Maped Man,CourseCode,Avilable this term 
1,AIS201,AIS201,,AIS201,1
2,AIS301,AIS301,,AIS301,0
3,AIS302,AIS302,,AIS302,1
4,AIS323,AIS323,,AIS323,1
44,CSCI467/AIS331,#N/A,AIS331,AIS331,1
41,CSCI451/AIS351,#N/A,AIS351,AIS351,1
5,AIS390,AIS390,,AIS390,0
6,AIS411,AIS411,,AIS411,0
7,AIS412,AIS412,,AIS412,0
8,AIS421,AIS421,,AIS421,0
9,AIS431,AIS431,,AIS431,0
10,AIS455,AIS455,,AIS455,0
11,AIS462,AIS462,,AIS462,0
12,AIS463,AIS463,,AIS463,0
13,AIS477,AIS477,,AIS477,0
14,AIS480,AIS480,,AIS480,0
15,AIS490,AIS490,,AIS490,0
16,AIS495,AIS495,,AIS495,0
17,AIS496,AIS496,,AIS496,0
23,CSCI101,CSCI101,,CSCI101,0
25,CSCI112,CSCI112,,CSCI112,1
27,CSCI207/ECEN204,#N/A,CSCI207,CSCI207,0
28,CSCI208,CSCI208,,CSCI208,1
29,CSCI212,CSCI212,,CSCI212,1
30,CSCI217,CSCI217,,CSCI217,1
31,CSCI304,CSCI304,,CSCI304,0
32,CSCI305,CSCI305,,CSCI305,0
33,CSCI311/ECEN432,#N/A,CSCI311,CSCI311,0
34,CSCI313/ECEN428,#N/A,CSCI313,CSCI313,0
35,CSCI315/ECEN427,#N/A,CSCI315,CSCI315,1
36,CSCI322,CSCI322,,CSCI322,0
37,CSCI363,CSCI363,,CSCI363,0
38,CSCI364/MATH303,#N/A,CSCI364,CSCI364,0
39,CSCI410,CSCI410,,CSCI410,0
40,CSCI415/ECEN449,#N/A,CSCI415,CSCI415,0
42,CSCI461,CSCI461,,CSCI461,0
43,CSCI465/ECEN433,#N/A,CSCI465,CSCI465,1
45,CSCI469,CSCI469,,CSCI469,0
46,CSCI478,CSCI478,,CSCI478,0
47,CSCI479,CSCI479,,CSCI479,0
48,CSCI481,CSCI481,,CSCI481,0
49,CSCI482,CSCI482,,CSCI482,0
51,ENGL001,ENGL001,,ENGL001,0
52,ENGL002,#N/A,ENGL101,ENGL101,0
53,ENGL003,#N/A,ENGL102,ENGL102,1
54,ENGL201,ENGL201,,ENGL201,1
55,ENGL202,ENGL202,,ENGL202,0
59,HUMA101,HUMA101,,HUMA101,0
56,HUMA001,#N/A,HUMA101,HUMA101,0
57,HUMA001/101,#N/A,HUMA101,HUMA101,0
60,HUMA102,HUMA102,,HUMA102,0
58,HUMA002,#N/A,HUMA102,HUMA102,0
18,ARTS-201,#N/A,HUMA103,HUMA103,0
19,ARTS-205,#N/A,HUMA103,HUMA103,0
20,ARTS105,#N/A,HUMA103,HUMA103,0
21,ARTS118,#N/A,HUMA103,HUMA103,0
22,ARTS201,#N/A,HUMA103,HUMA103,0
61,MATH100,MATH100,,MATH100,0
62,MATH111i,#N/A,MATH111,MATH111,0
63,MATH112i,#N/A,MATH112,MATH112,1
66,MATH211,MATH211,,MATH211,1
69,PHYS101C,#N/A,PHYS101,PHYS101,0
75,SSCI101,SSCI101,,SSCI101,0
24,CSCI102,#N/A,SSCI102,SSCI102,0
26,CSCI205,#N/A,CSCI122,CSCI122,#N/A
50,ECEN101C,#N/A,ECEN121,ECEN121,1
64,MATH201,#N/A,MATH113,MATH113,0
65,MATH203i,#N/A,MATH222,MATH222,1
67,MATH301i,#N/A,MATH221,MATH221,0
68,NSCI102,#N/A,SSCI102,SSCI102,0
70,PSCI-201,#N/A,SSCI102,SSCI102,0
71,SPAN101,#N/A,SSCI103,SSCI103,0
72,SSCI-103,#N/A,SSCI103,SSCI103,0
73,SSCI-301,#N/A,SSCI103,SSCI103,0
74,SSCI001,#N/A,SSCI103,SSCI103,0
76,SSCI201,#N/A,SSCI103,SSCI103,0
