CourseID,PreReq1,PreReq2,PreReq3,Num credits,IsitAvilable,CreditRequirement
AIS201,CSCI207/ECEN204,0,0,3,1,0
AIS301,AIS201,0,0,3,0,0
AIS302,AIS301,0,0,3,1,0
AIS323,AIS301,0,0,3,1,0
AIS390,0,0,0,2,0,80
AIS421,AIS411,0,0,3,0,0
AIS431,AIS301,0,0,3,0,0
AIS462,AIS301,0,0,3,0,0
AIS477,AIS301,0,0,3,0,0
AIS490,AIS390,0,0,2,0,0
AIS496,AIS495,0,0,3,0,0
CSCI101,0,0,0,3,0,0
CSCI102,0,0,0,3,0,0
CSCI112,CSCI102,0,0,3,1,0
CSCI205,CSCI101,0,0,3,1,0
CSCI207/ECEN204,CSCI112,0,0,3,0,0
CSCI208,CSCI207/ECEN204,0,0,3,1,0
CSCI212,ECEN101C,0,0,3,1,0
CSCI217,CSCI207/ECEN204,0,0,3,1,0
CSCI305,CSCI217,0,0,3,0,0
CSCI311/ECEN432,CSCI212,0,0,3,0,0
CSCI313/ECEN428,CSCI217,0,0,3,0,0
CSCI315/ECEN427,CSCI311/ECEN432,0,0,3,1,0
CSCI322,MATH201,0,0,3,0,0
CSCI363,CSCI217,0,0,3,0,0
CSCI410,CSCI315/ECEN427,0,0,3,0,0
CSCI451/AIS351,CSCI217,0,0,3,1,0
CSCI465/ECEN433,CSCI363,0,0,3,1,0
CSCI467/AIS331,AIS301,0,0,3,1,0
CSCI478,CSCI217,0,0,3,0,0
ECEN101C,PHYS101C,0,0,3,1,0
ENGL001,0,0,0,0,0,0
ENGL002,0,0,0,0,0,0
ENGL003,ENGL002,0,0,0,1,0
ENGL201,ENGL003,0,0,3,1,0
ENGL202,ENGL201,0,0,3,0,0
MATH100,0,0,0,0,0,0
MATH111i,0,0,0,3,0,0
MATH112i,MATH111i,0,0,3,1,0
MATH201,MATH111i,0,0,3,0,0
MATH203i,MATH112i,0,0,3,1,0
MATH211,0,0,0,3,1,0
MATH301i,MATH111i,0,0,3,0,0
PHYS101C,0,0,0,4,0,0
SSCxx1,0,0,0,2,1,0
SSCxx2,0,0,0,2,1,0
HUMAXX1,0,0,0,2,1,0
HUMAXX2,0,0,0,2,1,0
