StudentID,Manual Input
211001892,"ENGL003,MATH203i,CSCI315/ECEN427,AIS201,CSCI363,CSCI478,AIS390,"
211001926,"ENGL202,PHYS101C,CSCI315/ECEN427,AIS302,AIS323,CSCI467/AIS331,CSCI451/AIS351"
211001948,"ENGL202,MATH203i,CSCI315/ECEN427,AIS302,CSCI322,AIS302,AIS323"
211001978,"ENGL202,CSCI311/ECEN432,AIS302,AIS323,CSCI467/AIS331,CSCI451/AIS351,AIS390,"
211002041,"ENGL202,MATH203i,CSCI315/ECEN427,AIS302,CSCI322,AIS302,AIS323"
211002132,"ENGL003,MATH211,CSCI208,CSCI217,CSCI311/ECEN432,AIS201"
211002176,"ENGL202,MATH203i,CSCI315/ECEN427,AIS302,CSCI322,AIS302,AIS323"
211002194,"ENGL201,CSCI305,CSCI315/ECEN427,CSCI313/ECEN428,AIS201,CSCI451/AIS351,CSCI363,"
212002407,"ENGL201,CSCI305,CSCI315/ECEN427,CSCI313/ECEN428,AIS201,CSCI451/AIS351,CSCI363,"
221001592,"ENGL201,MATH203i,CSCI208,CSCI212,CSCI217,CSCI322,AIS201"
